name,bleu,ter,chrf,time,datetime,comment,task,subtask,position,cluster_bleu,cluster_ter,cluster_chrf
seed-x7b,38.83942565295757,50.99924381549098,65.44934861881835,235.04455089569092,2025-10-08 09:56:40.446964,,mt,demo,1,1,1,1
madlad400,36.02806286366799,52.42519174678621,63.30755991576631,870.7889904975891,2025-10-08 09:55:38.457960,,mt,demo,2,2,1,2
nllb200,33.603170257206216,55.33974289726693,60.17004098528715,810.8319692611694,2025-10-08 09:56:07.383946,,mt,demo,3,3,2,3
opus-mt-ende,30.01741377453907,57.80706492384142,58.798705350004234,59.99705243110657,2025-10-08 09:56:24.506913,Baseline,mt,demo,4,4,3,4
m2m100,27.70028652713052,60.68056605811818,55.039304477317444,416.4201982021332,2025-10-08 09:55:24.549676,,mt,demo,5,5,4,5
mbart-large,27.675907507729505,59.80987360916063,57.145177714290064,228.74023532867432,2025-10-08 09:55:54.839659,,mt,demo,6,6,5,6
t5-large,19.429474314702198,73.65237117856756,43.52519762193149,253.9158730506897,2025-10-08 09:56:48.873753,,mt,demo,7,7,6,7
eurollm,0.005900519460982689,289.9276223398509,15.590515685984904,926.5287609100342,2025-10-08 09:55:12.664198,,mt,demo,8,8,7,8
